NOAA Solar Calculations - Change any of the highlighted cells to get solar position data for that location and time-of-day for a year.,,,Date,Time (hrs past local midnight),Julian Day,Julian Century,,Geom Mean Long Sun (deg),Geom Mean Anom Sun (deg),Eccent Earth Orbit,Sun Eq of Ctr,Sun True Long (deg),Sun True Anom (deg),Sun Rad Vector (AUs),Sun App Long (deg),Mean Obliq Ecliptic (deg),Obliq Corr (deg),Sun Rt Ascen (deg),Sun Declin (deg),var y,Eq of Time (minutes),HA Sunrise (deg),Solar Noon (LST),Sunrise Time (LST),Sunset Time (LST),Sunlight Duration (minutes),True Solar Time (min),Hour Angle (deg),Solar Zenith Angle (deg),Solar Elevation Angle (deg),Approx Atmospheric Refraction (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N),
,,,15/01/2020,12:00:00,2458864.00,0.20038330,,294.4195012,7571.137566,0.016700205,0.377378029,294.7968792,7571.514944,0.983625991,294.7864498,23.43668529,23.43635241,-63.28394133,-21.16714372,0.043023432,-9.226294529,70.047281,12:19:35,7:39:24,16:59:47,560.378248,700.4137055,-4.896573632,64.44501601,25.55498399,0.033575578,25.58855957,174.9382271,
,,,16/01/2020,12:00:00,2458865.00,0.20041068,,295.4051486,7572.123166,0.016700204,0.410263544,295.8154121,7572.53343,0.983685847,295.8049821,23.43668493,23.4363544,-62.21065326,-20.98164464,0.04302344,-9.57786332,70.25776202,12:19:56,7:38:54,17:00:58,562.0620962,700.0621367,-4.98446583,64.26568738,25.73431262,0.033310087,25.7676227,174.8331251,
,,,17/01/2020,12:00:00,2458866.00,0.20043806,,296.3907959,7573.108766,0.016700203,0.443019971,296.8338159,7573.551786,0.983750688,296.8233854,23.43668458,23.43635639,-61.14021047,-20.78946559,0.043023447,-9.91816871,70.47499536,12:20:17,7:38:23,17:02:11,563.7999629,699.7218313,-5.069542177,64.07964227,25.92035773,0.033038202,25.95339593,174.7298697,
,,,18/01/2020,12:00:00,2458867.00,0.20046543,,297.3764433,7574.094367,0.016700202,0.475637038,297.8520803,7574.570004,0.983820492,297.8416492,23.43668422,23.43635838,-60.07268305,-20.59069526,0.043023455,-10.24691939,70.69880773,12:20:36,7:37:49,17:03:24,565.5904619,699.3930806,-5.151729847,63.88695593,26.11304407,0.032760345,26.14580441,174.6285338,
,,,19/01/2020,12:00:00,2458868.00,0.20049281,,298.3620907,7575.079967,0.016700201,0.508104525,298.8701952,7575.588071,0.983895238,298.8597635,23.43668387,23.43636037,-59.00813635,-20.38542466,0.043023462,-10.56384194,70.92902452,12:20:55,7:37:12,17:04:38,567.4321962,699.0761581,-5.230960484,63.687706,26.312294,0.03247693,26.34477093,174.5291884,
,,,20/01/2020,12:00:00,2458869.00,0.20052019,,299.347738,7576.065567,0.0167002,0.540412266,299.8881503,7576.605979,0.983974901,299.8777181,23.43668351,23.43636236,-57.94663098,-20.17374701,0.04302347,-10.86868107,71.16547018,12:21:14,7:36:34,17:05:53,569.3237614,698.7713189,-5.307170267,63.48197249,26.51802751,0.03218837,26.55021588,174.4319028,
,,,21/01/2020,12:00:00,2458870.00,0.20054757,,300.3333854,7577.051167,0.016700198,0.572550156,300.9059356,7577.623718,0.984059455,300.8955028,23.43668315,23.43636435,-56.88822276,-19.95575761,0.043023477,-11.16119984,71.4079686,12:21:31,7:35:53,17:07:09,571.2637488,698.4788002,-5.38029996,63.26983763,26.73016237,0.031895071,26.76205744,174.3367442,
,,,22/01/2020,12:00:00,2458871.00,0.20057495,,301.3190328,7578.036768,0.016700197,0.604508152,301.9235409,7578.641276,0.984148873,301.9131076,23.4366828,23.43636634,-55.83296276,-19.73155375,0.043023485,-11.44117981,71.65634353,12:21:48,7:35:11,17:08:26,573.2507483,698.1988202,-5.450294953,63.05138589,26.94861411,0.031597432,26.98021155,174.2437778,
,,,23/01/2020,12:00:00,2458872.00,0.20060233,,302.3046801,7579.022368,0.016700196,0.636276276,302.9409564,7579.658644,0.984243124,302.9305225,23.43668244,23.43636834,-54.78089724,-19.50123458,0.043023492,-11.70842115,71.91041893,12:22:04,7:34:26,17:09:43,575.2833514,697.9315788,-5.517105288,62.82670382,27.17329618,0.031295845,27.20459203,174.1530669,
,,,24/01/2020,12:00:00,2458873.00,0.20062971,,303.2903275,7580.007968,0.016700195,0.667844621,303.9581721,7580.675813,0.98434218,303.9477377,23.43668209,23.43637033,-53.73206774,-19.264901,0.0430235,-11.96274275,72.17001929,12:22:19,7:33:39,17:11:00,577.3601543,697.6772573,-5.580685687,62.59588005,27.40411995,0.030990693,27.43511064,174.0646726,
,,,25/01/2020,12:00:00,2458874.00,0.20065708,,304.2759749,7580.993569,0.016700194,0.699203355,304.9751782,7581.692772,0.984446007,304.9647432,23.43668173,23.43637232,-52.68651104,-19.02265556,0.043023507,-12.20398223,72.43496999,12:22:34,7:32:49,17:12:18,579.4797599,697.4360178,-5.640995557,62.3590052,27.6409948,0.030682351,27.67167715,173.9786535,
,,,26/01/2020,12:00:00,2458875.00,0.20068446,,305.2616222,7581.979169,0.016700193,0.730342721,305.9919649,7582.709512,0.984554572,305.9815294,23.43668137,23.43637431,-51.64425923,-18.77460232,0.043023515,-12.43199598,72.70509759,12:22:48,7:31:58,17:13:37,581.6407807,697.208004,-5.697998995,62.11617176,27.88382824,0.030371182,27.91419942,173.8950664,
,,,27/01/2020,12:00:00,2458876.00,0.20071184,,306.2472696,7582.964769,0.016700192,0.761253043,307.0085226,7583.726022,0.98466784,306.9980866,23.43668102,23.43637631,-50.60533976,-18.52084679,0.043023522,-12.64665911,72.9802301,12:23:00,7:31:05,17:14:56,583.8418408,696.9933409,-5.751664777,61.86747409,28.13252591,0.030057539,28.16258345,173.8139654,
,,,28/01/2020,12:00:00,2458877.00,0.20073922,,307.2329169,7583.950369,0.01670019,0.791924731,308.0248417,7584.742294,0.984785773,308.0144051,23.43668066,23.4363783,-49.56977545,-18.26149578,0.04302353,-12.84786536,73.26019728,12:23:12,7:30:10,17:16:15,586.0815782,696.7921346,-5.80196634,61.61300831,28.38699169,0.029741765,28.41673345,173.7354025,
,,,29/01/2020,12:00:00,2458878.00,0.20076660,,308.2185643,7584.93597,0.016700189,0.82234828,309.0409126,7585.758318,0.984908334,309.0304755,23.43668031,23.43638029,-48.5375846,-17.99665732,0.043023537,-13.03552704,73.54483088,12:23:24,7:29:13,17:17:34,588.358647,696.604473,-5.848881761,61.35287224,28.64712776,0.029424191,28.67655195,173.659427,
,,,30/01/2020,12:00:00,2458879.00,0.20079398,,309.2042117,7585.92157,0.016700188,0.852514276,310.0567259,7586.774084,0.985035483,310.0462884,23.43667995,23.43638229,-47.50878104,-17.72644055,0.043023545,-13.20957486,73.83396484,12:23:34,7:28:14,17:18:54,590.6717188,696.4304251,-5.892393716,61.08716532,28.91283468,0.029105136,28.94193981,173.586086,
,,,31/01/2020,12:00:00,2458880.00,0.20082136,,310.189859,7586.90717,0.016700187,0.882413401,311.0722724,7587.789584,0.985167179,311.0618343,23.43667959,23.43638428,-46.48337418,-17.45095563,0.043023553,-13.36995775,74.12743554,12:23:44,7:27:13,17:20:14,593.0194843,696.2700423,-5.932489437,60.81598855,29.18401145,0.028784906,29.21279636,173.5154238,
,,,01/02/2020,12:00:00,2458881.00,0.20084873,,311.1755064,7587.892771,0.016700186,0.912036431,312.0875428,7588.804807,0.98530338,312.0771042,23.43667924,23.43638628,-45.46136911,-17.17031366,0.04302356,-13.51664266,74.42508195,12:23:53,7:26:11,17:21:35,595.4006556,696.1233573,-5.969160665,60.5394444,29.4605556,0.028463796,29.4890194,173.4474825,
,,,02/02/2020,12:00:00,2458882.00,0.20087611,,312.1611538,7588.878371,0.016700185,0.941374245,313.102528,7589.819745,0.98544404,313.0920889,23.43667888,23.43638827,-44.44276669,-16.88462653,0.043023568,-13.64961434,74.72674581,12:24:01,7:25:06,17:22:55,597.8139665,695.9903857,-6.002403586,60.25763677,29.74236323,0.028142088,29.77050532,173.3823012,
,,,03/02/2020,12:00:00,2458883.00,0.20090349,,313.1468011,7589.863971,0.016700184,0.970417825,314.1172189,7590.834389,0.985589116,314.1067793,23.43667853,23.43639027,-43.42756363,-16.59400691,0.043023575,-13.76887506,75.03227181,12:24:08,7:24:00,17:24:15,600.2581745,695.8711249,-6.032218764,59.97067092,30.02932908,0.027820051,30.05714913,173.3199167,
,,,04/02/2020,12:00:00,2458884.00,0.20093087,,314.1324485,7590.849571,0.016700182,0.999158259,315.1316067,7591.84873,0.985738559,315.1211666,23.43667817,23.43639226,-42.41575259,-16.29856809,0.043023583,-13.87444429,75.34150767,12:24:14,7:22:52,17:25:36,602.7320613,695.7655557,-6.058611072,59.67865336,30.32134664,0.027497943,30.34884459,173.2603629,
,,,05/02/2020,12:00:00,2458885.00,0.20095825,,315.1180959,7591.835172,0.016700181,1.027586745,316.1456826,7592.862758,0.985892323,316.135242,23.43667781,23.43639426,-41.40732228,-15.99842394,0.04302359,-13.96635842,75.65430429,12:24:20,7:21:43,17:26:57,605.2344343,695.6736416,-6.081589605,59.38169182,30.61830818,0.027176008,30.64548418,173.2036712,
,,,06/02/2020,12:00:00,2458886.00,0.20098563,,316.1037432,7592.820772,0.01670018,1.055694595,317.1594378,7593.876467,0.986050357,317.1489967,23.43667746,23.43639625,-40.40225755,-15.69368884,0.043023598,-14.04467039,75.97051585,12:24:24,7:20:31,17:28:17,607.7641268,695.5953296,-6.101167599,59.07989519,30.92010481,0.026854479,30.94695929,173.1498701,
,,,07/02/2020,12:00:00,2458887.00,0.20101300,,317.0893906,7593.806372,0.016700179,1.083473233,318.1728638,7594.889845,0.98621261,318.1624223,23.4366771,23.43639825,-39.4005395,-15.38447755,0.043023605,-14.10944933,76.28999988,12:24:28,7:19:19,17:29:38,610.3199991,695.5305507,-6.117362333,58.77337342,31.22662658,0.026533575,31.25316016,173.0989855,
,,,08/02/2020,12:00:00,2458888.00,0.20104038,,318.0750379,7594.791972,0.016700178,1.110914205,319.1859521,7595.902887,0.986379031,319.1755101,23.43667675,23.43640024,-38.40214562,-15.0709052,0.043023613,-14.16078014,76.61261733,12:24:31,7:18:04,17:30:58,612.9009386,695.4792199,-6.130195035,58.46223746,31.53776254,0.026213505,31.56397604,173.0510406,
,,,09/02/2020,12:00:00,2458889.00,0.20106776,,319.0606853,7595.777573,0.016700177,1.138009176,320.1986945,7596.915582,0.986549566,320.188252,23.43667639,23.43640224,-37.40704984,-14.75308716,0.04302362,-14.19876312,76.9382326,12:24:34,7:16:48,17:32:19,615.5058608,695.4412369,-6.139690779,58.14659923,31.85340077,0.025894464,31.87929523,173.0060557,
,,,10/02/2020,12:00:00,2458890.00,0.20109514,,320.0463327,7596.763173,0.016700175,1.164749936,321.2110826,7597.927923,0.986724161,321.2006396,23.43667603,23.43640424,-36.41522268,-14.43113904,0.043023628,-14.2235135,77.26671363,12:24:35,7:15:31,17:33:39,618.133709,695.4164865,-6.145878374,57.82657151,32.17342849,0.025576638,32.19900513,172.9640483,
,,,11/02/2020,12:00:00,2458891.00,0.20112252,,321.03198,7597.748773,0.016700174,1.1911284,322.2231084,7598.939902,0.986902759,322.212665,23.43667568,23.43640623,-35.42663136,-14.10517656,0.043023635,-14.23516102,77.59793186,12:24:36,7:14:12,17:34:59,620.7834549,695.404839,-6.148790254,57.50226791,32.49773209,0.025260199,32.52299229,172.9250334,
,,,12/02/2020,12:00:00,2458892.00,0.20114990,,322.0176274,7598.734374,0.016700173,1.217136614,323.234764,7599.95151,0.987085303,323.2243201,23.43667532,23.43640823,-34.4412399,-13.77531554,0.043023643,-14.23384946,77.9317623,12:24:36,7:12:52,17:36:19,623.4540984,695.4061505,-6.148462366,57.17380278,32.82619722,0.024945311,32.85114253,172.889023,
,,,13/02/2020,12:00:00,2458893.00,0.20117728,,323.0032748,7599.719974,0.016700172,1.242766753,324.2460415,7600.962741,0.987271735,324.2355971,23.43667497,23.43641023,-33.45900926,-13.4416718,0.04302365,-14.21973618,78.26808348,12:24:35,7:11:30,17:37:39,626.1446679,695.4202638,-6.144934046,56.84129117,33.15870883,0.024632123,33.18334095,172.8560264,
,,,14/02/2020,12:00:00,2458894.00,0.20120465,,323.9889221,7600.705574,0.016700171,1.268011128,325.2569333,7601.973585,0.987461995,325.2464884,23.43667461,23.43641222,-32.4798974,-13.10436115,0.043023658,-14.1929916,78.60677749,12:24:33,7:10:08,17:38:59,628.8542199,695.4470084,-6.1382479,56.50484877,33.49515123,0.024320779,33.51947201,172.8260502,
,,,15/02/2020,12:00:00,2458895.00,0.20123203,,324.9745695,7601.691174,0.01670017,1.292862187,326.2674317,7602.984037,0.987656024,326.2569864,23.43667425,23.43641422,-31.50385946,-12.76349933,0.043023666,-14.15379873,78.9477299,12:24:31,7:08:43,17:40:18,631.5818392,695.4862013,-6.128449682,56.16459182,33.83540818,0.024011409,33.85941959,172.7990982,
,,,16/02/2020,12:00:00,2458896.00,0.20125941,,325.9602168,7602.676775,0.016700169,1.317312513,327.2775294,7603.994087,0.987853758,327.2670836,23.4366739,23.43641622,-30.53084783,-12.41920193,0.043023673,-14.10235267,79.2908298,12:24:28,7:07:18,17:41:38,634.3266384,695.5376473,-6.115588167,55.8206371,34.1793629,0.023704135,34.20306704,172.7751714,
,,,17/02/2020,12:00:00,2458897.00,0.20128679,,326.9458642,7603.662375,0.016700167,1.341354835,328.287219,7605.00373,0.988055135,328.2767729,23.43667354,23.43641822,-29.56081228,-12.07158437,0.043023681,-14.0388601,79.63596967,12:24:24,7:05:51,17:42:57,637.0877573,695.6011399,-6.099715024,55.47310181,34.52689819,0.023399069,34.55029726,172.7542681,
,,,18/02/2020,12:00:00,2458898.00,0.20131417,,327.9315116,7604.647975,0.016700166,1.36498202,329.2964936,7606.012957,0.988260091,329.286047,23.43667319,23.43642022,-28.59370006,-11.72076189,0.043023688,-13.96353875,79.98304542,12:24:19,7:04:23,17:44:15,639.8643634,695.6764612,-6.080884688,55.12210358,34.87789642,0.023096314,34.90099274,172.7363841,
,,,19/02/2020,12:00:00,2458899.00,0.20134155,,328.9171589,7605.633576,0.016700165,1.388187085,330.305346,7607.021763,0.988468561,330.294899,23.43667283,23.43642221,-27.62945601,-11.36684944,0.043023696,-13.87661692,80.3319563,12:24:14,7:02:55,17:45:34,642.6556504,695.7633831,-6.05915423,54.76776036,35.23223964,0.022795967,35.2550356,172.7215123,
,,,20/02/2020,12:00:00,2458900.00,0.20136893,,329.9028063,7606.619176,0.016700164,1.41096319,331.3137695,7608.030139,0.988680478,331.303322,23.43667247,23.43642421,-26.6680227,-11.00996172,0.043023703,-13.77833293,80.68260482,12:24:08,7:01:24,17:46:52,645.4608386,695.8616671,-6.034583234,54.41019042,35.58980958,0.022498113,35.61230769,172.7096429,
,,,21/02/2020,12:00:00,2458901.00,0.20139630,,330.8884537,7607.604776,0.016700163,1.433303646,332.3217573,7609.03808,0.988895777,332.3113094,23.43667212,23.43642621,-25.70934048,-10.6502131,0.043023711,-13.66893464,81.0348967,12:24:02,6:59:53,17:48:10,648.2791736,695.9710654,-6.007233659,54.04951223,35.95048777,0.022202831,35.9726906,172.7007637,
,,,22/02/2020,12:00:00,2458902.00,0.20142368,,331.874101,7608.590376,0.016700162,1.455201916,333.3293029,7610.045578,0.989114388,333.3188546,23.43667176,23.43642821,-24.75334764,-10.28771761,0.043023718,-13.54867888,81.3887408,12:23:55,6:58:21,17:49:28,651.1099264,696.0913211,-5.977169719,53.68584447,36.31415553,0.021910194,36.33606573,172.6948598,
,,,23/02/2020,12:00:00,2458903.00,0.20145106,,332.8597484,7609.575977,0.01670016,1.476651615,334.3364,7611.052628,0.989336243,334.3259513,23.43667141,23.43643021,-23.79998049,-9.922588894,0.043023726,-13.417831,81.74404904,12:23:47,6:56:48,17:50:45,653.9523923,696.222169,-5.944457751,53.31930593,36.68069407,0.021620265,36.70231433,172.6919135,
,,,24/02/2020,12:00:00,2458904.00,0.20147844,,333.8453958,7610.561577,0.016700159,1.497646511,335.3430423,7612.059223,0.989561271,335.3325931,23.43667105,23.43643221,-22.84917347,-9.554940225,0.043023733,-13.27666437,82.10073629,12:23:38,6:55:14,17:52:02,656.8058903,696.3633356,-5.909166092,52.95001553,37.04998447,0.021333102,37.07131757,172.6919048,
,,,25/02/2020,12:00:00,2458905.00,0.20150582,,334.8310431,7611.547177,0.016700158,1.51818053,336.3492237,7613.065358,0.989789402,336.3387741,23.43667069,23.43643421,-21.90085923,-9.184884446,0.043023741,-13.1254598,82.45872033,12:23:29,6:53:39,17:53:19,659.6697627,696.5145402,-5.871364951,52.57809219,37.42190781,0.021048758,37.44295657,172.6948112,
,,,26/02/2020,12:00:00,2458906.00,0.20153320,,335.8166905,7612.532778,0.016700157,1.538247757,337.3549382,7614.071025,0.990020564,337.3444883,23.43667034,23.43643621,-20.95496876,-8.812533967,0.043023749,-12.96450516,82.81792173,12:23:19,6:52:03,17:54:36,662.5433738,696.6754948,-5.831126289,52.20365484,37.79634516,0.020767277,37.81711243,172.7006074,
,,,27/02/2020,12:00:00,2458907.00,0.20156057,,336.8023378,7613.518378,0.016700156,1.557842433,338.3601803,7615.07622,0.990254685,338.3497299,23.43666998,23.43643821,-20.01143146,-8.438000745,0.043023756,-12.79409479,83.17826374,12:23:09,6:50:26,17:55:52,665.4261099,696.8459052,-5.788523697,51.82682237,38.17317763,0.020488699,38.19366633,172.7092658,
,,,28/02/2020,12:00:00,2458908.00,0.20158795,,337.7879852,7614.503978,0.016700155,1.576958963,339.3649442,7616.080937,0.99049169,339.3544934,23.43666963,23.43644021,-19.07017525,-8.061396272,0.043023764,-12.61452911,83.53967222,12:22:58,6:48:49,17:57:08,668.3173778,697.0254709,-5.743632278,51.44771355,38.55228645,0.020213058,38.57249951,172.7207566,
,,,29/02/2020,12:00:00,2458909.00,0.20161533,,338.7736326,7615.489578,0.016700154,1.595591912,340.3692245,7617.08517,0.990731506,340.3587733,23.43666927,23.43644221,-18.13112665,-7.682831559,0.043023771,-12.42611412,83.90207555,12:22:47,6:47:11,17:58:24,671.2166044,697.2138859,-5.696528531,51.06644706,38.93355294,0.019940385,38.95349333,172.7350471,
,,,01/03/2020,12:00:00,2458910.00,0.20164271,,339.7592799,7616.475179,0.016700152,1.613736009,341.3730159,7618.088915,0.990974058,341.3625644,23.43666891,23.43644421,-17.19421089,-7.302417131,0.043023779,-12.22916096,84.26540448,12:22:35,6:45:32,17:59:39,674.1232358,697.410839,-5.64729024,50.68314137,39.31685863,0.019670704,39.33652934,172.7521027,
,,,02/03/2020,12:00:00,2458911.00,0.20167009,,340.7449273,7617.460779,0.016700151,1.631386148,342.3763134,7619.092165,0.991219269,342.3658615,23.43666856,23.43644621,-16.25935196,-6.920263012,0.043023786,-12.02398544,84.62959208,12:22:23,6:43:52,18:00:54,677.0367366,697.6160146,-5.595996359,50.29791476,39.70208524,0.019404034,39.72148927,172.771886,
,,,03/03/2020,12:00:00,2458912.00,0.20169747,,341.7305747,7618.446379,0.01670015,1.648537388,343.3791121,7620.094917,0.991467064,343.3686597,23.4366682,23.43644821,-15.32647273,-6.536478722,0.043023794,-11.81090764,84.99457358,12:22:10,6:42:12,18:02:09,679.9565887,697.8290924,-5.542726911,49.91088528,40.08911472,0.019140393,40.10825511,172.7943575,
,,,04/03/2020,12:00:00,2458913.00,0.20172485,,342.716222,7619.431979,0.016700149,1.665184957,344.381407,7621.097164,0.991717366,344.3709543,23.43666785,23.43645021,-14.39549503,-6.151173273,0.043023801,-11.59025152,85.36028634,12:21:57,6:40:31,18:03:23,682.8822908,698.0497485,-5.487562881,49.52217068,40.47782932,0.018879793,40.49670912,172.8194754,
,,,05/03/2020,12:00:00,2458914.00,0.20175222,,343.7018694,7620.41758,0.016700148,1.681324249,345.3831936,7622.098904,0.991970095,345.3727406,23.43666749,23.43645222,-13.4663397,-5.764455163,0.043023809,-11.36234446,85.72666967,12:21:43,6:38:49,18:04:38,685.8133573,698.2776555,-5.430586115,49.1318884,40.8681116,0.018622242,40.88673384,172.8471956,
,,,06/03/2020,12:00:00,2458915.00,0.20177960,,344.6875168,7621.40318,0.016700147,1.696950828,346.3844676,7623.100131,0.992225175,346.3740141,23.43666713,23.43645422,-12.53892672,-5.376432376,0.043023817,-11.12751691,86.09366473,12:21:29,6:37:07,18:05:52,688.7493178,698.5124831,-5.371879227,48.74015557,41.25984443,0.018367745,41.27821218,172.8774715,
,,,07/03/2020,12:00:00,2458916.00,0.20180698,,345.6731641,7622.38878,0.016700145,1.712060425,347.3852245,7624.100841,0.992482526,347.3747707,23.43666678,23.43645622,-11.61317523,-4.987212381,0.043023824,-10.88610201,86.46121447,12:21:15,6:35:24,18:07:05,691.6897158,698.753898,-5.311525502,48.34708892,41.65291108,0.018116306,41.67102739,172.9102546,
,,,08/03/2020,12:00:00,2458917.00,0.20183436,,346.6588115,7623.374381,0.016700144,1.726648944,348.3854604,7625.10103,0.992742067,348.3750063,23.43666642,23.43645822,-10.68900366,-4.596902134,0.043023832,-10.63843522,86.82926349,12:21:00,6:33:41,18:08:19,694.6341079,699.0015648,-5.249608806,47.9528048,42.0471952,0.017867923,42.06506312,172.9454939,
,,,09/03/2020,12:00:00,2458918.00,0.20186174,,347.6444588,7624.359981,0.016700143,1.740712461,349.3851713,7626.100693,0.99300372,349.3747168,23.43666606,23.43646022,-9.766329743,-4.205608079,0.043023839,-10.38485402,87.19775791,12:20:45,6:31:57,18:09:32,697.5820633,699.255146,-5.186213504,47.55741914,42.44258086,0.017622594,42.46020346,172.9831363,
